Process Name;Process Path;Activity Name;Host Name;Count;Peligroso;Etiqueta_Texto;proceso_longitud;tiene_numeros_nombre;nombre_aleatorio;nombre_muy_corto;ruta_appdata;ruta_roaming;ruta_temp;ruta_downloads;ruta_desktop;ruta_system32;ruta_program_files;es_exe;es_dll;es_script;proceso_peligroso_conocido;frecuencia_alta;log_count;hora;dia_semana;es_horario_nocturno
ChipGenius.exe;nan;FortiEDR-Security-Malicious-Block;PA-SIST-LT-01;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;10;1;0
TnQGwf.exe;nan;FortiEDR-Security-Malicious-Block;PQC01XIBACETA;1;1;PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;8;0;0
SECOPatcher.dll;nan;FortiEDR-Security-Malicious-Block;PC-TI15;1;1;PELIGROSO;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.6931471805599453;18;6;0
update.exe;nan;FortiEDR-Security-PUP-Block;PROD09D;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;8;3;0
xxxtienda.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;4;1;PELIGROSO;13;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6094379124341003;23;2;1
streamer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;5;0
AnyDesk (1).exe;nan;FortiEDR-Security-PUP-Block;PC-TD026CJR01;1;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;16;4;0
update.exe;nan;FortiEDR-Security-PUP-Block;LT-MKT10;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;9;2;0
armsvc.exe;nan;FortiEDR-Security-Malicious-Block;CCHOQUEPURA;2;1;PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;9;1;0
explorer.exe;nan;FortiEDR-Security-Malicious-Block;QECGYETRAJVELOZ;2;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;8;5;0
JuniperSetupClient.exe;nan;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KPL;1;1;PELIGROSO;22;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;4;0
update.exe;nan;FortiEDR-Security-Malicious-Block;PC-TD108VMOST02;100;1;PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4.61512051684126;19;6;0
w11mdp.dll;nan;FortiEDR-Security-PUP-Block;LT-VCORP36;12;0;NO_PELIGROSO;10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2.5649493574615367;15;0;0
WerFaultSecure.exe;nan;FortiEDR-Security-Malicious-Block;PQ02R3DESPACHOS;1;1;PELIGROSO;18;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;0;3;1
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-MKT10;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;9;0;0
SteamService.exe;nan;FortiEDR-Security-PUP-Block;LT-FIN08;2;0;NO_PELIGROSO;16;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;23;3;1
NwbcTaskbarHandler.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;3;1;PELIGROSO;22;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;10;4;0
AnyDesk (8).exe;nan;FortiEDR-Security-Suspicious-Block;PC-TD219CJR01;1;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;1;0
Maxthon.exe;nan;FortiEDR-Security-Suspicious-Block;PNSA1P00455t;11;1;PELIGROSO;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2.4849066497880004;12;1;0
rundll32.exe;nan;FortiEDR-Security-Malicious-Block;PQ01R3DRIOS;1;1;PELIGROSO;12;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0.6931471805599453;8;3;0
AnyDesk (3).exe;nan;FortiEDR-Security-PUP-Block;LT-RRHH65;1;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;18;1;0
inpoutx64.sys;nan;FortiEDR-Security-Malicious-Block;HG-DESKTOP197;1;1;PELIGROSO;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6931471805599453;15;4;0
tasklist.exe;nan;FortiEDR-Security-Malicious-Block;EQU001-097;4;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6094379124341003;10;2;0
AnyDesk7_MAR22.exe;nan;FortiEDR-Security-PUP-Block;PC-CDVES08;1;0;NO_PELIGROSO;18;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;11;4;0
steamservice.exe;nan;FortiEDR-Security-PUP-Block;PNSAL5CD4381KXK;3;0;NO_PELIGROSO;16;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;9;6;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-VCORP38;2;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;17;2;0
powershell.exe;nan;FortiEDR-Security-Suspicious-Block;EQU001-033;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0.6931471805599453;18;5;0
hwncd32.exe;nan;FortiEDR-Security-Suspicious-Block;PC-TD246CHE;894;1;PELIGROSO;11;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;6.796823718274855;12;4;0
powershell.exe;nan;FortiEDR-Security-Malicious-Block;PTTCA15;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0.6931471805599453;9;2;0
update.exe;nan;FortiEDR-Security-PUP-Block;LT-MKT10;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;14;0;0
gnstx.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;5;0
RobloxPlayerBeta.exe;nan;FortiEDR-Security-Malicious-Block;PQ01NRODRIGUEZ;7;1;PELIGROSO;20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;2.0794415416798357;17;6;0
update.exe;nan;FortiEDR-Security-PUP-Block;LT-CRED21;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;8;3;0
TeamViewer_Service.exe;nan;FortiEDR-Security-PUP-Block;PC-TD241GON2;1;0;NO_PELIGROSO;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;18;6;0
explorer.exe;nan;FortiEDR-Security-Malicious-Block;PQ01JBUSTAMANTE;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;17;0;0
FortniteClient-Win64-Shipping.exe;nan;FortiEDR-Security-Malicious-Block;LT-AUDIT08;1;1;PELIGROSO;33;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;22;0;1
movim_item.exe;nan;FortiEDR-Security-PUP-Block;TINTL20;1;0;NO_PELIGROSO;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;18;3;0
powershell.exe;nan;FortiEDR-Security-Malicious-Block;PTGHM03;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0.6931471805599453;13;2;0
cpuchecker.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;2;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;21;0;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-CRED22;2;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;10;0;0
modidesc.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;3;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;21;5;0
OfficeClickToRun.exe;nan;FortiEDR-Security-Malicious-Block;AOPRD09;1;1;PELIGROSO;20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;10;0;0
RobloxPlayerBeta.exe;nan;FortiEDR-Security-Malicious-Block;LT-CDVES06;100;1;PELIGROSO;20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;4.61512051684126;15;6;0
RobloxPlayerBeta.exe;nan;FortiEDR-Security-Malicious-Block;PNSA1L0071;36;1;PELIGROSO;20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;3.6109179126442243;19;1;0
TeamViewer_Service.exe;nan;FortiEDR-Security-PUP-Block;CAJAMAYORISTA01;2;0;NO_PELIGROSO;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;10;5;0
cpuchecker.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;21;5;0
AnyDesk00b4.exe;nan;FortiEDR-Security-Malicious-Block;HG-LAPTOP81;4;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6094379124341003;21;1;0
steamservice.exe;nan;FortiEDR-Security-PUP-Block;PNSAL5CD4381KXK;3;0;NO_PELIGROSO;16;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;9;6;0
AnyDesk (1).exe;nan;FortiEDR-Security-PUP-Block;PC-TD026VEM01;1;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;18;6;0
streamer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;2;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-MKT10;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;8;0;0
Dell.CoreServices.Client.exe;nan;FortiEDR-Security-Suspicious-Block;HG-LAPTOP194;1;1;PELIGROSO;28;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;4;4;1
powershell.exe;nan;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KX2;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0.6931471805599453;14;3;0
AA_v3.exe;nan;FortiEDR-Security-Malicious-Block;dbserver1;384;1;PELIGROSO;9;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5.953243334287785;14;6;0
AnyDesk (1).exe;nan;FortiEDR-Security-PUP-Block;PC-TD026VEM01;149;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5.0106352940962555;19;5;0
cmd.exe;nan;FortiEDR-Security-Malicious-Block;HG-DESKTOP130;1;1;PELIGROSO;7;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0.6931471805599453;10;0;0
AnyDesk (8).exe;nan;FortiEDR-Security-Suspicious-Block;PC-TD212ALMA;2;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;20;4;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;PC-TD060COR;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;4;0
OInstall.exe;nan;FortiEDR-Security-Malicious-Block;LT-CDVES01;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;9;2;0
Siemens.Automation.PMC.PowerConfig.exe;nan;FortiEDR-Security-Suspicious-Block;PTTCA05;5;1;PELIGROSO;38;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.791759469228055;15;1;0
$RF38PHY.exe;nan;FortiEDR-Security-PUP-Block;PNSAL5CD4381KV2;7;0;NO_PELIGROSO;12;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2.0794415416798357;15;5;0
update.exe;nan;FortiEDR-Security-PUP-Block;PTTRQ20;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;16;1;0
AnyDesk (1).exe;nan;FortiEDR-Security-PUP-Block;PC-CDVES08;1;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;21;4;0
Hot Wheels_SS2013_PC.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;4;1;PELIGROSO;24;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6094379124341003;0;3;1
SteamService.exe;nan;FortiEDR-Security-PUP-Block;LT-FIN08;1;0;NO_PELIGROSO;16;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;23;3;1
powershell.exe;nan;FortiEDR-Security-Malicious-Block;PTTCA15;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0.6931471805599453;8;0;0
WeatherZeroService.exe;nan;FortiEDR-Security-Suspicious-Block;PQ01ECASTILLO;18;1;PELIGROSO;22;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;2.9444389791664403;16;1;0
3c7f4b6f-5a64-4267-869e-354b2d9a2dff.tmp;nan;FortiEDR-Security-Malicious-Block;PTFNR08;2;1;PELIGROSO;40;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.0986122886681098;10;5;0
qhsoretafpppsogzxsqkd.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;25;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;5;0
iqvw64e.sys;nan;FortiEDR-Security-Malicious-Block;ServerIQC;1221;1;PELIGROSO;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7.108244139731541;15;0;0
w11mdp.dll;nan;FortiEDR-Security-PUP-Block;QTEGYELOGAPINEDA;10;0;NO_PELIGROSO;10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2.3978952727983707;10;4;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-CDVES01;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;10;6;0
fficgisvtbshatdeoxfgx.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;25;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;5;0
ufqtcqfijtogzpbqkqmmw.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;2;1;PELIGROSO;25;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;20;5;0
RobloxPlayerBeta.exe;nan;FortiEDR-Security-Malicious-Block;LT-CDVES06;55;1;PELIGROSO;20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;4.02535169073515;14;5;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-CDVES01;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;9;0;0
HDDLLF.4.25.exe;nan;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KPL;1;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;4;0
cuentas_x_pagar.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;4;1;PELIGROSO;19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6094379124341003;0;3;1
TeamViewer_Service.exe;nan;FortiEDR-Security-PUP-Block;PC-TD241GON2;1;0;NO_PELIGROSO;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;10;4;0
kvudwmtgiioerwjolhjun.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;2;1;PELIGROSO;25;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;20;5;0
java.exe;nan;FortiEDR-Security-PUP-SimulationBlock;ALM01D;19;0;NO_PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2.995732273553991;6;3;1
OfficeClickToRun.exe;nan;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KQX;2;1;PELIGROSO;20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;17;0;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-CDVES01;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;8;0;0
TeamViewer_Service.exe;nan;FortiEDR-Security-PUP-Block;PC-MJ03EE6J;3;0;NO_PELIGROSO;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;10;5;0
AnyDesk (1).exe;nan;FortiEDR-Security-PUP-Block;PC-TD026VEM01;1;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;1;0
gnhox.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;4;1;PELIGROSO;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6094379124341003;9;4;0
update.exe;nan;FortiEDR-Security-PUP-Block;LT-CRED21;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;8;5;0
Start.lnk;nan;FortiEDR-Security-Malicious-Block;PC-TD100SAC;1;1;PELIGROSO;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6931471805599453;17;1;0
streamer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;5;0
streamer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;0;0
java.exe;nan;FortiEDR-Security-PUP-Block;TEC01N;3;0;NO_PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;6;6;1
AnyDesk3ebc.exe;nan;FortiEDR-Security-Malicious-Block;HG-LAPTOP51;1;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;6;1;1
core.exe;nan;FortiEDR-Security-Suspicious-Block;HG-Desktop63;1;1;PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;0;0
update.exe;nan;FortiEDR-Security-PUP-Block;LT-VCORP30;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;16;4;0
OInstall.exe;nan;FortiEDR-Security-Malicious-Block;LT-CDVES01;3;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;10;4;0
AnyDesk (3).exe;nan;FortiEDR-Security-PUP-Block;PC-CDVES42;1;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;12;4;0
viper-3.0.04-installer_A9sAa-1.exe;nan;FortiEDR-Security-Malicious-Block;LT-CONT45;1;1;PELIGROSO;34;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;8;2;0
2673958754.ico;nan;FortiEDR-Security-PUP-Block;LAPJMANCO;8;0;NO_PELIGROSO;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.1972245773362196;17;3;0
a_despacho.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;22;3;1
powershell.exe;nan;FortiEDR-Security-Malicious-Block;PTGHM03;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0.6931471805599453;8;1;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-MKT10;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;3;0
TeamViewer_Service.exe;nan;FortiEDR-Security-PUP-Block;PC-TD250VMOST01;1;0;NO_PELIGROSO;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;9;1;0
promecefpluginhost.exe;nan;FortiEDR-Security-Malicious-Block;PC-TD231CHE;1;1;PELIGROSO;22;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;11;0;0
wscript.exe;nan;FortiEDR-Security-Suspicious-Block;PNSAP5CD4381KP4;20;1;PELIGROSO;11;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;3.044522437723423;18;1;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-OT04;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;11;3;0
$RF38PHY.exe;nan;FortiEDR-Security-PUP-Block;PNSAL5CD4381KV2;2;0;NO_PELIGROSO;12;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;11;0;0
anydesk-553-downzen.com.exe;nan;FortiEDR-Security-PUP-Block;SRVGYEQPCTLVISITAS;2;0;NO_PELIGROSO;27;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;1;2;1
AnyDesk (8).exe;nan;FortiEDR-Security-Suspicious-Block;PC-TD212ALMA;6;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.9459101490553132;18;3;0
$RPO8RR3.exe;nan;FortiEDR-Security-PUP-Block;PNSAL5CD4381KV2;13;0;NO_PELIGROSO;12;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2.6390573296152584;15;4;0
update.exe;nan;FortiEDR-Security-PUP-Block;EQU001-058;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;16;3;0
TeamViewer_Service.exe;nan;FortiEDR-Security-PUP-Block;PC-TD241GON2;1;0;NO_PELIGROSO;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;6;0
AnyDesk (1).exe;nan;FortiEDR-Security-PUP-Block;PC-TD026VEM01;1;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;17;4;0
mgwgyeml32.exe;nan;FortiEDR-Security-Suspicious-Block;PC-TD36CJR03;234;1;PELIGROSO;14;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5.459585514144159;18;6;0
res1.tmp.exe;nan;FortiEDR-Security-Malicious-Block;PROD36D;1;1;PELIGROSO;12;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;10;4;0
tmpBC.tmp;nan;FortiEDR-Security-Malicious-SimulationBlock;ana-salvador;1;1;PELIGROSO;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6931471805599453;8;0;0
core.exe;nan;FortiEDR-Security-Suspicious-Block;HG-LAPTOP207;1;1;PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;6;0;1
rundll32.exe;nan;FortiEDR-Security-Suspicious-Block;LT-LEGAL12;2;1;PELIGROSO;12;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1.0986122886681098;9;5;0
$RF38PHY.exe;nan;FortiEDR-Security-PUP-Block;PNSAL5CD4381KV2;1;0;NO_PELIGROSO;12;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;11;4;0
mgwgyeml32.exe;nan;FortiEDR-Security-Suspicious-Block;PC-TD246ADM;154;1;PELIGROSO;14;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5.043425116919247;9;3;0
explorer.exe;nan;FortiEDR-Security-Malicious-Block;LT-VCORP36;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;16;2;0
Setup.exe;nan;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KPL;1;1;PELIGROSO;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;4;0
AnyDesk3ebc.exe;nan;FortiEDR-Security-Malicious-Block;HG-LAPTOP51;1;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;11;0;0
dwm.exe;nan;FortiEDR-Security-Suspicious-Block;GBOTELLO;1;1;PELIGROSO;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;1;0
taskhostw.exe;nan;FortiEDR-Security-Suspicious-Block;LT-COMP74;4;1;PELIGROSO;13;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6094379124341003;21;5;0
streamer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;1;0
ped_autom.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;20;5;0
AnyDesk (1).exe;nan;FortiEDR-Security-Suspicious-Block;LT-OT02;1;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;2;0
viteri.EXE;nan;FortiEDR-Security-Suspicious-Block;PLA1L00199cc;2;1;PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.0986122886681098;9;5;0
dp_gpio.exe;nan;FortiEDR-Security-Malicious-Block;QECGYEFINDCUNNI;2;1;PELIGROSO;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;8;0;0
nmap.exe;nan;FortiEDR-Security-PUP-SimulationBlock;QCTCLTIESOTO;1;0;NO_PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;12;2;0
AnyDesk (1).exe;nan;FortiEDR-Security-PUP-Block;PC-TD026ADM;193;0;NO_PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5.267858159063328;19;5;0
TODOsapinterf.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;2;1;PELIGROSO;17;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;23;2;1
streamer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;3;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;14;1;0
msedge_elf.dll;nan;FortiEDR-Security-Malicious-Block;QTEGYEEPINEDA;1;1;PELIGROSO;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.6931471805599453;14;3;0
movim_de_item.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;17;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;22;4;1
streamer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;0;3;1
